Dates,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Prices
10-31-2020,1.02E+01,9.75E+00,1.01E+01,1.02E+01,1.02E+01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,0.00E+00,0.00E+00,0.00E+00,9.93E+00
11-30-2020,1.02E+01,1.03E+01,1.07E+01,1.02E+01,1.02E+01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,0.00E+00,0.00E+00,0.00E+00,1.05E+01
12-31-2020,1.03E+01,1.07E+01,1.11E+01,1.03E+01,1.03E+01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,0.00E+00,0.00E+00,0.00E+00,1.09E+01
01-31-2021,1.03E+01,1.08E+01,1.11E+01,1.03E+01,1.03E+01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,0.00E+00,0.00E+00,0.00E+00,1.10E+01
02-28-2021,1.04E+01,1.07E+01,1.11E+01,1.04E+01,1.04E+01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,0.00E+00,0.00E+00,0.00E+00,1.09E+01
03-31-2021,1.04E+01,1.08E+01,1.12E+01,1.04E+01,1.04E+01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,0.00E+00,0.00E+00,0.00E+00,1.10E+01
04-30-2021,1.04E+01,1.02E+01,1.06E+01,1.04E+01,1.04E+01,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,0.00E+00,0.00E+00,0.00E+00,1.04E+01
05-31-2021,1.05E+01,9.75E+00,1.01E+01,1.05E+01,1.05E+01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,0.00E+00,0.00E+00,0.00E+00,9.92E+00
06-30-2021,1.05E+01,9.75E+00,1.01E+01,1.05E+01,1.05E+01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,0.00E+00,0.00E+00,0.00E+00,9.93E+00
07-31-2021,1.06E+01,9.90E+00,1.03E+01,1.06E+01,1.06E+01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,0.00E+00,0.00E+00,0.00E+00,1.01E+01
